# Pathway	cat_cutrefo1-MmMm-USA-23-ATP-1873_S352_L005_Abundance	cat_cutrefo10-SbMm-USA-23-ATP-1873_S361_L005_Abundance	cat_cutrefo11-SbMm-USA-23-ATP-1873_S362_L005_Abundance	cat_cutrefo12-SbMm-USA-23-ATP-1873_S363_L005_Abundance	cat_cutrefo13-SbMm-USA-23-ATP-1873_S364_L005_Abundance	cat_cutrefo14-SbMm-USA-23-ATP-1873_S365_L005_Abundance	cat_cutrefo15-SbMm-USA-23-ATP-1873_S366_L005_Abundance	cat_cutrefo16-SbMm-USA-23-ATP-1873_S367_L005_Abundance	cat_cutrefo17-SbMm-USA-23-ATP-1873_S368_L005_Abundance	cat_cutrefo18-SbMm-USA-23-ATP-1873_S369_L005_Abundance	cat_cutrefo19-HsMm-USA-23-ATP-1873_S370_L005_Abundance	cat_cutrefo2-MmMm-USA-23-ATP-1873_S353_L005_Abundance	cat_cutrefo20-HsMm-USA-23-ATP-1873_S371_L005_Abundance	cat_cutrefo21-HsMm-USA-23-ATP-1873_S372_L005_Abundance	cat_cutrefo22-HsMm-USA-23-ATP-1873_S373_L005_Abundance	cat_cutrefo23-HsMm-USA-23-ATP-1873_S374_L005_Abundance	cat_cutrefo24-HsMm-USA-23-ATP-1873_S375_L005_Abundance	cat_cutrefo25-HsMm-USA-23-ATP-1873_S376_L005_Abundance	cat_cutrefo26-HsMm-USA-23-ATP-1873_S377_L005_Abundance	cat_cutrefo3-MmMm-USA-23-ATP-1873_S354_L005_Abundance	cat_cutrefo4-MmMm-USA-23-ATP-1873_S355_L005_Abundance	cat_cutrefo5-MmMm-USA-23-ATP-1873_S356_L005_Abundance	cat_cutrefo6-MmMm-USA-23-ATP-1873_S357_L005_Abundance	cat_cutrefo7-MmMm-USA-23-ATP-1873_S358_L005_Abundance	cat_cutrefo8-MmMm-USA-23-ATP-1873_S359_L005_Abundance	cat_cutrefo9-SbMm-USA-23-ATP-1873_S360_L005_Abundance
GLYOXYLATE-BYPASS: glyoxylate cycle	0	7.74633	12.2239	0	5.62914	0	9.03182	0	0	9.53968	0	0	0	0	0	1.73904	0	0	0	0	0	0	0	0	0	0
GOLPDLCAT-PWY: superpathway of glycerol degradation to 1,3-propanediol	0	10.9405	23.1793	14.4565	23.8363	8.46791	13.1678	19.4337	0	0	0	2.75504	3.28751	0	5.70256	0	1.6218	3.10581	4.09981	0	0	0	0	5.14784	4.65967	8.64781
HCAMHPDEG-PWY: 3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-hydroxypentadienoate	0	0	3.69205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HEME-BIOSYNTHESIS-II-1: heme b biosynthesis V (aerobic)	0	4.21618	11.6679	0	3.8487	0	0	4.35788	0	0	0	0	0	3.60239	0	0	2.44083	0	0	0	0	0	0	0	0	5.36772
HEME-BIOSYNTHESIS-II: heme b biosynthesis I (aerobic)	0	114.696	130.486	0	3.8487	0	0	4.35788	0	0	7.18056	0	2.55578	7.51296	5.16164	12.754	5.94164	3.95805	5.55222	0	0	0	0	0	0	5.36772
HEMESYN2-PWY: heme b biosynthesis II (oxygen-independent)	0	13.245	15.0857	0	9.1267	0	7.28677	6.35842	0	5.8644	7.63135	0	2.58337	7.69371	5.09872	13.2911	5.97879	3.98015	5.5223	0	0	0	0	0	1.92145	0
HISDEG-PWY: L-histidine degradation I	553.165	0	7.31386	0	0	0	0	0	0	6.0342	312.422	471.457	259.604	276.011	363.202	324.608	262.487	312.296	327.419	613.723	410.271	319.296	534.914	500.684	444.021	10.3119
HISTSYN-PWY: L-histidine biosynthesis	601.431	684.271	528.293	334.902	401.055	400.426	487.962	382.715	293.029	406.152	370.671	600.445	310.962	343.29	349.963	348.775	354.323	377.94	376.958	527.253	431.158	394.09	516.44	577.628	594.522	422.382
HOMOSER-METSYN-PWY: L-methionine biosynthesis I	0	0	3.36866	8.45003	0	6.22199	4.05355	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
HSERMETANA-PWY: L-methionine biosynthesis III	115.188	244.016	260.263	156.148	230.131	193.59	213.538	164.185	127.514	193.985	167.737	105.557	117.104	208.177	162.101	123.227	153.578	210.81	148.972	197.498	0	0	0	83.4882	183.106	209.02
ILEUSYN-PWY: L-isoleucine biosynthesis I (from threonine)	611.657	406.424	452.472	255.273	374.445	451.298	425.267	430.608	244.24	339.716	240.002	611.54	210.438	285.867	284.853	383.871	280.923	386.728	385.013	575.91	538.596	494.758	519.221	611.944	563.62	250.29
KETOGLUCONMET-PWY: ketogluconate metabolism	0	3.61453	1.15661	0	6.56894	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LACTOSECAT-PWY: lactose and galactose degradation I	0	10.1138	30.923	9.20852	20.5475	26.9456	33.0972	15.7656	16.3606	18.7725	2.723	0	2.72105	0	3.11165	1.96339	3.00494	11.6823	7.61398	0	0	0	0	0	1.90032	21.1573
MET-SAM-PWY: superpathway of S-adenosyl-L-methionine biosynthesis	0	0	6.31575	13.4798	0	10.8804	6.65226	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
METH-ACETATE-PWY: methanogenesis from acetate	0	17.9085	29.5499	0	31.9147	41.7428	0	16.2768	22.9846	0	0	0	0	0	0	6.05582	4.22107	16.7763	5.30409	0	0	0	0	0	4.46027	20.0319
METHGLYUT-PWY: superpathway of methylglyoxal degradation	0	0	0	0	0	0	0	0	0	0	13.4115	0	6.39691	8.24757	0	6.22924	11.434	10.5233	19.3368	0	0	0	0	0	0	0
METSYN-PWY: superpathway of L-homoserine and L-methionine biosynthesis	0	0	5.8579	14.3121	0	10.7516	7.0268	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NAGLIPASYN-PWY: lipid IVA biosynthesis (E. coli)	0	15.736	5.07452	19.7599	63.9486	12.0539	18.2988	20.4245	23.9525	39.7893	253.354	4.54776	292.195	250.176	248.442	199.27	180.502	206.897	225.899	0	0	0	0	29.4767	0	0
NONMEVIPP-PWY: methylerythritol phosphate pathway I	593.401	737.87	544.821	326.897	403.214	442.95	459.524	383.269	359.562	414.434	417.566	599.613	369.938	385.57	441.582	430.314	419.814	452.092	470.517	563.127	454.156	500.503	558.029	605.943	581.524	471.302
NONOXIPENT-PWY: pentose phosphate pathway (non-oxidative branch) I	4.76544	57.1193	97.5492	89.4348	82.4308	76.8557	110.503	109.892	91.6443	80.7357	185.241	77.4089	231.039	251.052	147.453	188.365	324.129	183.891	196.579	0	0	75.8899	0	72.4897	49.981	81.9024
